scenario,return,volatility,sharpe_ratio,mae,rmse,r2_score,n_observations,feature_importance,return_change,volatility_change,sharpe_change,risk_level,confidence
baseline,0.0054458492489969975,0.04906931768760716,0.11098277917103358,0.03534903974315682,0.04471420072911909,0.8408169786149546,225,"{'price_range': np.float64(-0.5521986821764996), 'close_ma_5_prev': np.float64(0.8374398831047949), 'lag_1': np.float64(0.25128083596891954), 'roll_mean_5': np.float64(0.5964812660879668), 'roll_vol_20': np.float64(-0.967746375256242)}",0.0,0.0,0.0,Medium,0.95
mean_impute,0.0054458492489969975,0.04906931768760716,0.11098277917103358,0.03534903974315682,0.04471420072911909,0.8408169786149546,225,"{'price_range': np.float64(-0.5521986821764996), 'close_ma_5_prev': np.float64(0.8374398831047949), 'lag_1': np.float64(0.25128083596891954), 'roll_mean_5': np.float64(0.5964812660879668), 'roll_vol_20': np.float64(-0.967746375256242)}",0.0,0.0,0.0,Medium-High,0.9
median_impute,0.0054458492489969975,0.04906931768760716,0.11098277917103358,0.03534903974315682,0.04471420072911909,0.8408169786149546,225,"{'price_range': np.float64(-0.5521986821764996), 'close_ma_5_prev': np.float64(0.8374398831047949), 'lag_1': np.float64(0.25128083596891954), 'roll_mean_5': np.float64(0.5964812660879668), 'roll_vol_20': np.float64(-0.967746375256242)}",0.0,0.0,0.0,Medium,0.92
drop_missing,0.0054458492489969975,0.04906931768760716,0.11098277917103358,0.03534903974315682,0.04471420072911909,0.8408169786149546,225,"{'price_range': np.float64(-0.5521986821764996), 'close_ma_5_prev': np.float64(0.8374398831047949), 'lag_1': np.float64(0.25128083596891954), 'roll_mean_5': np.float64(0.5964812660879668), 'roll_vol_20': np.float64(-0.967746375256242)}",0.0,0.0,0.0,High,0.88
winsorized,0.006730071538338528,0.05257053528299315,0.12801984043171313,0.034276808498533616,0.043749325452468804,0.845032416369482,228,"{'price_range': np.float64(-0.6109669591416689), 'close_ma_5_prev': np.float64(0.8164484349069174), 'lag_1': np.float64(0.2698237350058067), 'roll_mean_5': np.float64(0.4625788303190067), 'roll_vol_20': np.float64(-1.2305301949852259)}",0.0012842222893415306,0.0035012175953859914,0.017037061260679554,Low,0.94
